Date,Open,Max,Min,Close,Volume
2021-01-17,38450.15,40082.91,30314.05,36214.23,0
2021-01-24,36189.66,37862.58,28823.75,32180.86,0
2021-01-31,32166.01,38629.1,29272.28,33006.07,0
2021-02-07,33008.65,40982.01,32342.7,38828.27,0
2021-02-14,38829.27,49638.86,38077.43,49113.17,0
2021-02-21,49092.84,58346.64,45938.68,57354.87,0
2021-02-28,57365.31,57587.59,43143.76,45272.13,0
2021-03-07,45273.2,52601.54,44976.3,50515.62,0
2021-03-14,50515.37,61747.57,49343.72,60209.01,0
2021-03-21,60215.76,60727.94,53302.87,57637.37,0
2021-03-28,57611.49,58422.26,50444.41,55143.22,0
2021-04-04,55141.22,60057.4,54922.48,58115.01,0
2021-04-11,58126.03,61182.46,55471.62,59546.6,0
2021-04-18,59571.89,64830.5,52864.15,56352.34,0
2021-04-25,56362.07,57573.59,47090.12,47694.45,0
2021-05-02,47674.91,58497.46,47600.66,56701.56,0
2021-05-09,56701.58,59521.05,52993.34,58101.36,0
2021-05-16,58078.16,59587.02,43942.32,45245.65,0
2021-05-23,45210.91,46637.1,30108.11,34057.92,0
2021-05-30,34070.2,40845,33459.26,35961.72,0
2021-06-06,35956.92,39481.11,34216.36,35940.32,0
2021-06-13,35944.38,39371.12,31062.66,38899.82,0
2021-06-20,38897,41306.66,33377.88,35568.15,0
2021-06-27,35563.83,35776.28,28935.49,32844.97,0
2021-07-04,32871.23,36566.07,32733.75,35866.53,0
2021-07-11,35889.35,35889.35,32118.69,34473.46,0
2021-07-18,34491.35,34635.86,31072.93,31847.65,0
2021-07-25,31848.22,34818.56,29324.26,34587.33,0
2021-08-01,34588.49,42577.89,34491.21,41092.28,0
2021-08-08,41086.36,45299.54,37349.23,44260.26,0
2021-08-15,44256.06,48128.1,42818.07,46886.01,0
2021-08-22,46883.82,49793.72,43994.64,48713.75,0
2021-08-29,48719.16,50498.85,46382.31,48912.45,0
2021-09-05,48914.56,51808.05,46556.81,51728.37,0
2021-09-12,51724.39,52913.02,43954.25,45287.95,0
2021-09-19,45288.41,48790.43,43559.79,47461.24,0
2021-09-26,47460.42,47607.87,39782.26,43581.93,0
2021-10-03,43583.08,49182.49,40813.07,47809.81,0
2021-10-10,47794.97,56447.09,46966.53,54866.04,0
2021-10-17,54834.27,62852.27,54142.16,60609.91,0
2021-10-24,60629.81,66961.24,59536.6,60964.75,0
2021-10-31,60967.56,63703.9,58154.72,61428.18,0
2021-11-07,61417.06,64278.56,59586.11,62832.63,0
2021-11-14,62841.07,68976.48,62322.14,64526.58,0
2021-11-21,64532.25,66334.83,55669.82,59160.08,0
2021-11-28,59179.05,59444.44,53529.85,56094.7,0
2021-12-05,56071.91,59245,44582.47,49338.3,0
2021-12-12,49335.72,51988.72,46800,50330.79,0
2021-12-19,50313.41,50397.52,45498.72,47360.86,0
2021-12-26,47323.53,51865.29,45577.38,50999.91,0
2022-01-02,51005.67,52093.74,45682.57,47264.84,553563.242841
2022-01-09,47264.83,47574.76,40586.19,42205.36,1092338.4153532
2022-01-16,42205.36,44522.25,39716.04,43207.28,896755.86880271
2022-01-23,43209.69,43518.05,34100.46,35518.32,1329402.6458279
2022-01-30,35515.58,38898.18,32971.75,37800.89,1299828.5981254
2022-02-06,37798.69,42192.68,36299.6,41611.97,905262.92952568
2022-02-13,41599.58,45861.19,41513.75,42405.43,1070608.6043999
2022-02-20,42396.98,44776.86,38018.31,38838.25,849408.40930904
2022-02-27,38834.65,40189.33,34356.87,37825.79,1251006.5285239
2022-03-06,37815.32,45263.56,37367.94,38985.79,1144664.6992462
2022-03-13,38990.02,42592.53,37162.44,37750.36,1111759.4537369
2022-03-20,37734.13,42416.96,37559.82,41428.88,876702.0360055
2022-03-27,41452.56,46818.53,40486.97,46562.57,910110.31407464
2022-04-03,46585.86,48209.11,44213.26,46853.01,982732.75238769
2022-04-10,46950.51,47406,42119.77,42678.19,866693.66933965
2022-04-17,42736.23,42743.76,39211.76,40216.18,794327.9660303
2022-04-24,40216.19,42984.59,38544.43,39641.31,917661.50716875
2022-05-01,39641.3,40796.9,37388.48,38342.63,954005.03435528
2022-05-08,38349.99,40020,33723.12,34450.36,1164004.3130688
2022-05-15,34450.35,34466.18,25474.1,31029.62,2088516.9777639
2022-05-22,31035.47,31362.32,28635.46,29981.68,950950.13799062
2022-05-29,29981.69,30632.08,28001.36,29203.48,1031399.5267497
2022-06-05,29203.48,32373.08,29144.67,29937.06,901757.42050439
2022-06-12,29937.06,31738.63,26859.64,27335.68,1042900.890736
2022-06-19,27335.69,27415.34,17598.97,20369.12,2375440.3136147
2022-06-26,20375.35,21867.21,19616.48,21368.59,1436557.3687991
2022-07-03,21368.81,21519.4,18615.02,19279.71,1132831.3982094
2022-07-10,19275.82,22487.01,19030.37,21022.87,2014260.6206995
2022-07-17,21022.71,21658.91,18910.32,21016.7,2740225.0332732
2022-07-24,21023.91,24275.24,20748.37,22811.49,4092762.1390885
2022-07-31,22814.53,24669.4,20728.45,23595.85,4044698.5200077
2022-08-07,23595.43,23629.51,22407.13,23315.4,2976954.6815432
2022-08-14,23314.77,25040.62,22694.35,24352.35,3463731.9388015
2022-08-21,24352.15,25214.57,20766.92,21534.39,3598799.7705509
2022-08-28,21532.92,21840.02,19829.96,19965.24,3335719.7224407
2022-09-04,19965,20575.13,19538.2,19857.22,3561852.2031749
