Date;Open;High;Low;Close;Volume
04.06.2012;620.25;644.75;611.75;630.25;354934
11.06.2012;629.25;642.25;607.5;609.5;325252
18.06.2012;613.5;684.75;612.0;673.25;317176
25.06.2012;682.0;744.75;682.0;739.0;135229
02.07.2012;741.75;824.0;740.25;791.25;7904
09.07.2012;799.75;850.25;788.5;842.0;43734
16.07.2012;858.5;944.75;856.25;943.25;309338
23.07.2012;944.5;947.25;852.75;898.0;315734
30.07.2012;908.0;919.75;856.0;891.25;257012
06.08.2012;883.25;931.75;869.25;885.25;330502
13.08.2012;882.5;885.25;838.25;874.5;201671
20.08.2012;874.0;904.75;866.0;867.5;123609
27.08.2012;868.0;896.75;851.5;870.0;60387
03.09.2012;875.5;890.75;844.0;884.75;3677
10.09.2012;884.75;906.5;849.0;897.5;75961
17.09.2012;921.5;926.5;860.75;897.25;304364
24.09.2012;897.5;907.25;849.25;902.5;306239
01.10.2012;902.0;904.25;856.25;857.5;243273
08.10.2012;857.5;894.0;853.25;856.75;250714
15.10.2012;860.0;885.5;840.25;872.5;230188
22.10.2012;873.0;895.0;860.0;863.75;256836
29.10.2012;865.0;877.5;852.75;864.5;259963
05.11.2012;864.5;916.5;863.0;886.5;425218
12.11.2012;886.0;886.5;829.5;838.0;401020
19.11.2012;835.5;853.75;835.5;847.75;174761
26.11.2012;849.25;880.0;844.0;844.75;167599
03.12.2012;849.75;858.5;835.0;844.25;7274
10.12.2012;841.5;841.5;792.25;801.0;40053
17.12.2012;816.0;822.75;782.5;792.0;221441
24.12.2012;793.5;796.25;764.5;778.75;111481
31.12.2012;778.75;788.0;739.75;747.25;190673
07.01.2013;749.5;773.0;736.25;754.75;368380
14.01.2013;761.5;793.75;760.75;791.25;331964
21.01.2013;795.0;799.75;763.0;776.5;225676
28.01.2013;778.25;791.0;764.5;765.0;265976
04.02.2013;767.5;774.0;746.5;756.25;343330
11.02.2013;757.5;759.5;722.5;742.25;364051
18.02.2013;747.0;747.25;713.5;715.0;225847
25.02.2013;714.5;718.75;692.75;713.25;125587
