Date,Open,Max,Min,Close,Volume
1990-01-31,25.876,26.8419,24.3258,24.9567,97550387.483402
1990-02-28,24.9567,25.5389,24.0854,24.7629,65488552.502536
1990-03-31,24.7148,26.1643,24.4707,25.728,76035567.969953
1990-04-30,25.5837,26.9372,25.4891,25.6326,59531240.796715
1990-05-31,25.728,28.1007,25.728,27.6168,78849227.747452
1990-06-30,27.9054,28.4883,27.3279,27.7612,59116638.007978
1990-07-31,27.8093,30.2734,27.8093,28.6796,76694812.210962
1990-08-31,28.6317,28.9223,23.1172,24.8598,113779305.46887
1990-09-30,24.5699,25.0032,20.1206,21.86,90810509.253239
1990-10-31,21.86,22.9731,20.0213,20.8452,107705127.65196
1990-11-30,20.6997,22.5398,20.5547,21.9561,77164009.387363
1990-12-31,21.9561,23.4567,21.8118,22.9731,66633121.656537
1991-01-31,22.8769,25.6814,21.2306,25.6326,98693475.246721
1991-02-28,25.5389,28.4401,25.3417,27.2302,98526240.583077
1991-03-31,26.9852,28.2471,26.2619,27.9054,70943929.186491
1991-04-30,27.9054,30.371,27.8571,28.3394,71397238.543044
1991-05-31,28.4401,30.9997,27.9054,30.9532,61480211.43744
1991-06-30,30.8571,31.0966,29.2145,29.6478,54178345.3745
1991-07-31,29.8401,30.371,28.582,29.3579,65266494.959094
1991-08-31,29.4037,30.3236,27.6168,29.9866,69384755.974353
1991-09-30,29.9866,30.2284,26.9852,27.8093,67631058.521144
1991-10-31,27.9542,29.0673,26.1643,27.6642,76572241.412878
1991-11-30,27.8571,28.2471,25.7751,25.9217,66601128.949312
1991-12-31,25.6326,31.2926,24.8598,30.6641,93998822.50832
1992-01-31,30.3236,32.3563,29.5004,30.1324,87325935.633593
1992-02-29,30.0338,32.3563,29.9866,31.4856,58342516.806859
1992-03-31,31.4856,32.0167,30.3236,30.371,54084054.286432
1992-04-30,30.2734,31.7757,29.165,30.7129,68436945.206752
1992-05-31,30.6145,31.919,30.0834,30.6145,49260636.074262
1992-06-30,30.6641,31.8261,29.9378,31.1423,47819321.644607
1992-07-31,31.2926,31.5331,29.9378,30.6641,51903596.993457
1992-08-31,30.6145,30.8082,29.2602,29.6478,46773260.527983
1992-09-30,29.599,31.9694,29.4525,31.3409,53291567.395192
1992-10-31,31.4368,31.4368,29.3084,30.7602,49586911.419676
1992-11-30,30.8082,33.5678,30.8082,33.3717,53244423.120558
1992-12-31,33.0819,35.0653,32.5988,34.2421,53313906.309675
1993-01-31,34.2918,34.9654,33.0819,34.5319,52658119.916321
1993-02-28,34.4833,35.1599,32.4042,33.7097,57906311.356077
1993-03-31,33.8552,36.466,33.3717,35.6909,62506673.006409
1993-04-30,35.8861,38.4488,35.3552,36.3226,60374352.659458
1993-05-31,36.3226,38.1117,35.5476,37.1923,54283536.80685
1993-06-30,37.2877,38.6436,37.1923,38.3536,55012017.97323
1993-07-31,38.3536,40.4325,37.8698,39.4668,55056686.916392
1993-08-31,39.4668,40.189,38.4488,39.3681,43780950.365853
1993-09-30,39.3681,39.5603,37.8698,38.4016,49568808.495511
1993-10-31,38.3536,39.6101,37.9666,38.8853,40189188.546468
1993-11-30,38.8372,39.9968,37.1923,39.4154,52098370.037076
1993-12-31,39.5603,42.899,39.1745,42.0269,62223326.25572
1994-01-31,41.9314,43.8655,41.1101,43.1897,64135079.335714
1994-02-28,43.0912,43.9632,41.9314,42.2224,47561280.397966
1994-03-31,42.2695,42.6564,38.7395,40.0921,66971810.471933
1994-04-30,38.8853,39.9014,37.6768,38.1588,63783742.211198
1994-05-31,38.1588,39.9968,37.0962,39.8536,61361363.791769
1994-06-30,39.7558,40.3844,36.08,37.3847,69194085.633973
1994-07-31,37.8698,40.5767,37.0474,40.3844,44661138.885843
1994-08-31,40.2876,41.0619,37.2877,39.8536,68469704.632032
1994-09-30,40.0921,41.1564,38.5954,38.5954,47879732.426529
1994-10-31,38.7883,40.8672,37.3847,39.1745,65106949.055822
1994-11-30,39.0789,39.9968,36.3706,36.8528,51200673.941874
1994-12-31,36.9505,41.5928,36.3706,40.8672,61721381.078648
1995-01-31,40.6759,42.4648,39.9968,41.2541,49423281.854176
1995-02-28,41.399,44.8843,40.6759,43.8655,50514631.381531
1995-03-31,43.3827,44.3972,41.6914,43.2858,56370338.981535
1995-04-30,43.5772,45.6065,42.8013,44.8843,44214039.437782
1995-05-31,44.8843,47.494,44.6896,46.4763,64229362.80738
1995-06-30,46.3824,46.7677,44.4948,45.1708,59848215.242799
1995-07-31,45.2694,48.5088,45.1708,47.2988,53854429.845089
1995-08-31,47.2988,47.6871,45.6065,47.2025,45454506.741207
1995-09-30,47.1073,51.7946,46.7677,51.1219,55520283.496663
1995-10-31,50.8806,52.2813,48.7985,50.6861,50798846.402334
1995-11-30,50.4917,54.5966,49.4768,53.7837,49123671.541019
1995-12-31,54.1209,58.6176,54.1209,57.6918,59490677.095594
1996-01-31,57.2192,61.5227,55.7106,61.5227,63974044.425358
1996-02-29,61.2265,64.5201,60.416,60.5105,60913011.445163
1996-03-31,61.0319,63.7475,59.0011,62.4405,59676761.091047
1996-04-30,62.9053,64.6336,59.399,61.8992,60020038.790171
1996-05-31,61.7994,68.6386,59.1089,66.3053,67070558.426052
1996-06-30,66.1115,70.6113,65.627,69.5629,62117627.063068
1996-07-31,69.6448,70.4049,62.4405,65.9295,62321327.802196
1996-08-31,65.8287,69.7313,65.8287,66.6267,46786524.49647
1996-09-30,65.9295,73.7491,65.5262,72.9384,55714811.545936
1996-10-31,72.9384,78.1623,72.535,77.5334,50242441.394077
1996-11-30,77.7777,85.0878,77.1624,83.3863,56241944.172787
1996-12-31,82.8508,84.0559,75.924,79.2574,84553088.359763
1997-01-31,79.1711,86.4661,76.8599,82.9529,86676120.50139
1997-02-28,83.2913,86.8524,81.7318,82.4637,59960981.189454
1997-03-31,81.7318,85.9218,78.7222,79.5423,64401681.421046
1997-04-30,79.1711,89.9393,77.8784,88.9944,76250313.765048
1997-05-31,88.648,101.418,87.4828,96.7853,75707928.018728
1997-06-30,97.7869,109.397,96.0152,104.223,54644798.106469
1997-07-31,105.744,119.655,105.01,112.4,61040300.605854
1997-08-31,112.211,113.125,98.2666,100.314,75398583.940581
1997-09-30,102.593,115.204,101.804,109.115,61862247.749811
1997-10-31,109.832,115.433,94.6113,103.591,74679785.763159
1997-11-30,106.033,119.83,105.31,118.45,53733775.842144
1997-12-31,119.331,122.751,112.721,117.63,53585522.527987
1998-01-31,117.535,124.832,112.635,124.255,58489456.291234
1998-02-28,125.468,126.563,121.907,124.642,46170518.583972
1998-03-31,124.642,140.499,120.6,138.168,55401684.653539
1998-04-30,137.451,143.392,129.362,136.56,52898232.146701
1998-05-31,136.956,138.263,129.856,133.67,47053507.402027
1998-06-30,133.67,147.527,129.661,145.682,57340972.305306
1998-07-31,146.974,155.294,141.168,143.392,64772977.333631
1998-08-31,142.195,147.361,128.265,128.265,70961551.007769
1998-09-30,129.856,136.151,116.41,127.525,103667312.37073
1998-10-31,125.153,142.563,110.603,140.256,104722119.65856
1998-11-30,140.499,151.734,138.081,144.895,51064888.681932
1998-12-31,143.604,166.623,138.168,163.518,60454798.393494
1999-01-31,162.503,168.308,150.788,168.118,60980560.06753
1999-02-28,168.221,168.221,153.505,160.816,56768445.907462
1999-03-31,160.516,183.07,156.404,177.344,75679273.835489
1999-04-30,177.927,188.27,161.1,168.931,71382106.016645
1999-05-31,169.024,179.148,160.722,163.046,65387953.762117
1999-06-30,163.731,181.172,160.044,181.172,60851418.851138
1999-07-31,179.676,192.374,174.255,174.728,58288230.883578
1999-08-31,173.247,191.871,164.463,180.062,56624782.746436
1999-09-30,180.746,196.407,178.557,190.073,61388841.240508
1999-10-31,188.955,218.513,183.795,217.243,76766521.929003
1999-11-30,214.211,226.54,205.507,208.618,54126915.602918
1999-12-31,208.792,255.711,208.5,248.117,80664529.219292
2000-01-31,245.147,248.504,213.376,214.92,87000220.093911
2000-02-29,215.22,229.441,200.426,212.219,92117597.247079
2000-03-31,214.03,264.172,202.545,249.353,116345711.36735
2000-04-30,248.787,269.332,229.441,252.056,83477619.035852
2000-05-31,254.852,265.416,234.575,252.986,62293559.660685
2000-06-30,250.284,259.683,230.637,254.852,54542433.629599
2000-07-31,252.401,263.296,238.184,248.504,50879301.022175
2000-08-31,249.662,291.105,246.077,282.007,52508731.757891
2000-09-30,285.081,288.979,264.51,278.675,48341375.399038
2000-10-31,279.589,288.979,236.073,264.172,85512919.083111
2000-11-30,263.88,266.299,231.219,238.813,58899569.209501
2000-12-31,245.147,270.836,227.587,231.85,68255608.770122
2001-01-31,226.107,235.781,206.128,222.474,101296516.05098
2001-02-28,224.895,234.275,217.638,224.895,74780896.072082
2001-03-31,220.057,225.492,176.129,202.451,133069253.89574
2001-04-30,200.81,241.878,188.813,234.709,88297048.79085
2001-05-31,232.393,258.979,229.761,236.978,72562592.865003
2001-06-30,236.938,254.467,223.711,236.978,115601855.21902
2001-07-31,236.6,242.79,207.987,210.397,83137606.235468
2001-08-31,207.987,210.516,192.681,198.204,76032096.158888
2001-09-30,197.801,203.955,137.844,179.912,124880380.09195
2001-10-31,180.393,193.303,174.302,176.09,89353849.037859
2001-11-30,175.32,202.071,174.342,186.19,66569842.028908
2001-12-31,185.717,200.173,175.13,193.855,92405121.595651
2002-01-31,194.912,199.929,166.818,179.676,100263456.13688
