Date,Open,Max,Min,Close
1996-07-07,109.74,110.9,109.46,110.77
1996-07-14,110.84,111.19,109.89,110.87
1996-07-21,110.52,110.87,107.75,107.79
1996-07-28,107.94,108.86,106.88,108.3
1996-08-04,108.32,108.62,106.3,106.78
1996-08-11,106.85,108.4,106.4,108.19
1996-08-18,108.13,108.25,107.39,107.69
1996-08-25,107.67,108.7,107.63,108.09
1996-09-01,108.03,108.93,107.41,108.92
1996-09-08,108.93,109.45,108.61,109.2
1996-09-15,109.14,110.55,108.82,110.37
1996-09-22,110.42,110.6,108.8,109.98
1996-09-29,109.96,110.96,108.95,110.81
1996-10-06,110.8,112.1,110.78,111.83
1996-10-13,111.8,111.95,110.85,111.52
1996-10-20,111.6,112.63,111.46,112.4
1996-10-27,112.41,113.45,111.94,113.4
1996-11-03,113.36,114.91,112.89,113.33
1996-11-10,113.1,114.67,111.26,111.73
1996-11-17,111.53,111.96,110.55,110.98
1996-11-24,111.04,111.87,110.65,111.41
1996-12-01,111.42,113.94,111.33,113.85
1996-12-08,113.78,114.75,111.73,112.86
1996-12-15,112.98,114,112.3,113.9
1996-12-22,113.95,114.4,113.25,114.25
1996-12-29,114.2,116.2,113.84,115.25
1997-01-05,115.38,116.7,115.28,116.28
1997-01-12,116.75,116.98,114.8,116.05
1997-01-19,116.05,117.48,115.85,117.3
1997-01-26,117.35,120.15,117.2,118.9
1997-02-02,119.12,122.78,118.88,121.4
1997-02-09,121.15,124.72,121.04,122.9
1997-02-16,121.17,124.82,121,124.3
1997-02-23,124.42,124.71,122.28,123.25
1997-03-02,123.15,123.38,119.85,120.1
1997-03-09,120.41,122.28,119.88,121.9
1997-03-16,121.85,124.11,121.15,123.4
1997-03-23,123.28,123.95,122.05,122.75
1997-03-30,122.75,124.47,122.15,124.08
1997-04-06,124.05,124.3,121.35,124.27
1997-04-13,124.31,127.19,124.22,126.1
1997-04-20,126.11,126.6,125,125.8
1997-04-27,125.7,126.49,125.1,126.25
1997-05-04,126.15,127.46,126.02,126.65
1997-05-11,126.54,126.82,119,120
1997-05-18,119.74,119.74,114.65,115.75
1997-05-25,115.45,116.4,111.88,115.5
1997-06-01,116.1,117,115.09,116.15
1997-06-08,116.09,116.85,114.2,114.2
1997-06-15,114.15,115.7,110.52,114.84
1997-06-22,114.65,115,112.75,114.9
1997-06-29,115.22,115.67,113,114.55
1997-07-06,114.5,115.29,112.95,114.2
1997-07-13,114.16,114.2,111.9,114.2
1997-07-20,114.1,116.48,113.25,115.45
1997-07-27,115.5,117.07,114.7,116.88
1997-08-03,116.9,119.17,116.83,118.4
1997-08-10,118.55,119.58,114.25,114.55
1997-08-17,114.7,118.7,114.65,117.35
1997-08-24,117,118.56,116,118.38
1997-08-31,118.07,121.26,117.6,120.85
1997-09-07,121.1,121.78,120.15,121.15
1997-09-14,121.13,121.66,118.15,120.95
1997-09-21,120.85,122.55,119.85,122.13
1997-09-28,121.79,123.05,119.2,121.15
1997-10-05,121.03,122.4,120.15,122.04
1997-10-12,121.78,122.7,119.55,120.05
1997-10-19,120.12,121.78,119.4,120.73
1997-10-26,120.62,122.38,120.13,122.08
1997-11-02,122.08,122.29,118.68,120.37
1997-11-09,120.4,124.4,119.85,124.3
1997-11-16,123.77,127.15,123.75,125.35
1997-11-23,125.67,127.43,124.16,126.47
1997-11-30,126.54,128,126.3,127.85
1997-12-07,127.59,130.52,127.59,130.22
1997-12-14,129.67,130.81,128.25,130.3
1997-12-21,130.32,131.56,125.75,129.23
1997-12-28,129.45,130.74,129.05,130.4
1998-01-04,130.1,132.6,129.22,132.38
1998-01-11,132.25,134.4,130.49,131.98
1998-01-18,132.19,133.1,128,129.23
1998-01-25,128.76,129.75,125.39,125.55
1998-02-01,125.48,127.75,124.25,127
1998-02-08,126.5,126.96,122.75,123.85
1998-02-15,124.25,125.5,122.35,125.14
1998-02-22,125.34,128.15,125.34,127.78
1998-03-01,128.14,129,125.8,126.1
1998-03-08,126.18,128.4,124.72,127.66
1998-03-15,127.56,129.67,126.9,127.8
1998-03-22,127.85,131.3,127.6,130.4
1998-03-29,130.18,130.85,127.73,130.3
1998-04-05,130.04,135.42,129.95,135.15
1998-04-12,135.12,135.17,127.35,128.62
1998-04-19,128.63,132.18,127.55,131.7
1998-04-26,131.81,132.44,129.37,131.13
1998-05-03,131.08,133.45,130.77,133.4
1998-05-10,133.37,133.6,131.25,132.85
1998-05-17,133.13,134.65,132.2,134.42
1998-05-24,134.65,136.75,134.6,135.8
1998-05-31,136.2,139.23,136.15,138.75
1998-06-07,138.57,139.94,137.4,139.85
1998-06-14,139.85,144.75,139.78,144.15
1998-06-21,144.48,146.75,133.6,137.08
1998-06-28,138.04,142.98,137.1,142.1
1998-07-05,142.7,143.35,137.43,139.42
1998-07-12,140.37,141.71,138.08,141.35
1998-07-19,142.88,144.28,138.55,139.6
1998-07-26,139.25,142.1,138.53,141.65
1998-08-02,141.37,144.8,140.7,144.75
1998-08-09,144.86,146.25,143.3,146.2
1998-08-16,146.25,147.63,144.3,146.4
1998-08-23,146.28,146.86,141.38,144.58
1998-08-30,144.85,145.22,140.25,141.75
1998-09-06,141.53,142.5,132.88,133.7
1998-09-13,134.53,138.25,128.9,130.9
1998-09-20,131.65,135.77,130.9,132.65
1998-09-27,133.72,137.19,132.32,136.14
1998-10-04,136,136.9,133.35,135.5
1998-10-11,136.02,136.05,111.53,116.6
1998-10-18,117.25,120.37,113.52,115.22
1998-10-25,115.45,119.62,113.76,118.02
1998-11-01,118.32,119.75,114.99,115.8
1998-11-08,115.5,119.07,114.3,119.05
1998-11-15,119.3,124.08,119.05,122.78
1998-11-22,122.32,122.65,118.48,120.35
1998-11-29,120.53,123.5,120.15,122.99
1998-12-06,123.31,124.06,117.3,118.68
1998-12-13,118.68,120.55,116.26,116.55
1998-12-20,116.35,117.55,114.45,116.08
1998-12-27,115.87,117.67,114.65,116.55
1999-01-03,116.16,117.11,112.5,113.2
1999-01-10,113.28,114.44,109.77,110.98
1999-01-17,110.77,114.4,108.17,113.99
1999-01-24,114.47,114.98,112.3,114.42
1999-01-31,114.3,116.81,113.21,116.2
1999-02-07,115.95,115.95,111.3,113.2
1999-02-14,113.18,115.75,112.68,114.05
1999-02-21,114.05,121.19,113.75,121.03
1999-02-28,120.64,122.5,118.4,118.95
1999-03-07,119.36,123.72,118.85,122.75
1999-03-14,122.71,123.16,118.44,118.7
1999-03-21,118.83,119.42,116.84,117.1
1999-03-28,116.96,120.55,116.89,120.2
1999-04-04,120.32,120.93,118.1,120.75
1999-04-11,120.55,122.01,120.3,120.85
1999-04-18,120.77,120.92,117.39,117.72
1999-04-25,117.78,120.4,117.42,119.2
1999-05-02,119.21,120.53,118.28,119.45
1999-05-09,119.5,121.39,119.4,120.78
1999-05-16,120.86,122.83,120.22,122.83
1999-05-23,122.85,124.79,122.6,123.92
1999-05-30,124.06,124.34,119.6,121.46
1999-06-06,121.71,122.46,120.3,122.15
1999-06-13,122.31,122.42,117.59,117.92
1999-06-20,118.04,120.94,117.85,120.4
1999-06-27,120.7,122.55,120.55,121.37
1999-07-04,121.4,121.9,120.5,120.92
1999-07-11,121.02,122.85,120.84,122.32
1999-07-18,122.28,122.53,120.22,120.94
1999-07-25,120.99,121.01,116,116.47
1999-08-01,116.84,117.36,114.1,114.5
1999-08-08,114.85,115.66,113.58,114.79
1999-08-15,115.1,116.2,114.35,115.71
1999-08-22,115.72,115.88,110.65,111.23
1999-08-29,111.24,112.8,110.36,111.4
1999-09-05,110.91,111.24,108.62,109.85
1999-09-12,109.55,111.4,107.52,108.8
1999-09-19,108.91,109.15,103.17,107.15
1999-09-26,107.62,108.16,103.39,103.9
1999-10-03,105.33,107.22,103.85,104.96
1999-10-10,105.05,107.97,104.55,107.38
1999-10-17,107.39,108,105.15,105.3
1999-10-24,105.24,106.69,104.78,105.9
1999-10-31,105.76,106.23,103.65,104.1
1999-11-07,104.12,106.57,103.39,106.01
1999-11-14,106.04,106.38,104.35,105.24
1999-11-21,105.15,106.53,104.62,106.3
1999-11-28,106.35,106.61,101.22,101.75
1999-12-05,102.35,104.05,101.3,102.67
1999-12-12,102.63,103.46,101.99,102.18
1999-12-19,102.36,103.78,102.2,103.05
1999-12-26,103.03,103.39,101.25,102.89
2000-01-02,102.8,102.95,101.75,102.21
2000-01-09,102.11,105.89,101.31,105.35
2000-01-16,105.12,106.37,104.3,105.78
2000-01-23,105.8,106.1,104.4,104.68
2000-01-30,105.2,107.26,104.53,107.08
2000-02-06,106.9,109,106.57,107.16
2000-02-13,107.28,109.76,107.15,108.75
2000-02-20,109.05,111.26,107.97,110.92
2000-02-27,110.91,111.73,110.05,110.3
2000-03-05,110.18,110.4,106.54,107.72
2000-03-12,107.85,108.15,105.73,106.23
2000-03-19,106.3,106.78,104.55,106.7
2000-03-26,106.9,107.77,106.22,106.84
2000-04-02,106.86,107.15,101.99,102.75
2000-04-09,103.3,105.77,102.79,105.36
2000-04-16,105.42,107.1,104.72,104.75
2000-04-23,104.23,105.88,103.18,105.73
2000-04-30,105.78,108.26,105.04,108.16
2000-05-07,107.84,109.61,107.21,108.52
2000-05-14,108.72,110.06,107.65,108.34
2000-05-21,108.66,110.02,106.3,106.98
2000-05-28,107.08,107.97,106.37,107.11
2000-06-04,107.03,109.05,106.01,108
2000-06-11,108.04,108.28,104.98,106.85
2000-06-18,106.78,107.15,105.83,106.37
2000-06-25,106.44,106.49,103.88,104.74
2000-07-02,104.6,106.35,104.22,105.98
2000-07-09,106.14,107.92,105.25,107.84
2000-07-16,107.83,108.46,106.54,107.8
2000-07-23,107.75,109.17,107.25,108.88
2000-07-30,108.74,109.78,108.44,109.47
2000-08-06,109.55,109.78,107.87,108.57
2000-08-13,108.53,109.25,107.45,108.49
2000-08-20,108.61,109.61,108.04,108.37
2000-08-27,108.25,108.75,106.54,106.81
2000-09-03,106.75,106.85,105.51,105.96
2000-09-10,105.89,106.52,104.75,106.11
2000-09-17,106.08,107.73,105.82,107.07
2000-09-24,107.1,108.14,106.25,107.9
2000-10-01,107.93,108.5,107.1,108.05
2000-10-08,108.05,109.58,108.05,108.8
2000-10-15,108.88,109.1,107.27,107.78
2000-10-22,107.69,109.15,107.39,108.83
2000-10-29,108.9,109.05,107.6,108.62
2000-11-05,108.65,109.28,106.76,107.01
2000-11-12,107.18,107.95,106.84,107.91
2000-11-19,108.01,109.1,107.36,108.8
2000-11-26,108.74,111.42,108.72,111.3
2000-12-03,111.18,112.03,109.77,111.25
2000-12-10,111.41,111.45,110.11,110.96
2000-12-17,111.33,112.84,110.51,112.54
2000-12-24,112.39,113.14,111.75,112.86
2000-12-31,112.8,115.05,112.7,114.27
2001-01-07,114.35,116.88,113.52,116.54
2001-01-14,116.56,118.56,115.6,118.45
2001-01-21,118.3,119.85,116.87,117.1
2001-01-28,117,118.44,116.11,117.27
2001-02-04,117.5,117.69,114.9,115.6
2001-02-11,115.63,117.76,114.28,117.52
2001-02-18,117.54,117.94,114.51,115.69
2001-02-25,115.95,117.18,115.17,115.82
2001-03-04,115.8,119.3,115.72,119.04
2001-03-11,119.13,120.4,118.2,119.52
2001-03-18,119.49,123.17,119.27,122.92
2001-03-25,123.09,124.31,121.96,122.73
2001-04-01,123.52,126.35,121.52,126.19
2001-04-08,126.51,126.86,123.79,123.79
2001-04-15,124.34,125.42,123.02,124.24
2001-04-22,124.64,124.97,121.04,122.44
2001-04-29,121.47,124.36,121.19,124.05
2001-05-06,124.09,124.1,120.65,121.38
2001-05-13,121.53,122.87,120.97,122.59
2001-05-20,122.71,124.09,122.48,123.57
2001-05-27,123.55,123.55,119.27,120.7
2001-06-03,120.64,121.4,118.54,119.21
2001-06-10,119.44,120.85,118.88,120.76
2001-06-17,121.11,123.19,120.91,123.11
2001-06-24,122.97,124.71,122.69,124.49
2001-07-01,124.58,125.06,123.37,124.73
2001-07-08,124.67,126.18,123.75,126.02
2001-07-15,125.93,126.01,123.55,125
2001-07-22,124.9,125.68,122.81,123.04
2001-07-29,123.36,124.53,123.24,123.53
2001-08-05,123.34,125.27,123.31,123.65
2001-08-12,123.82,124.24,121.49,121.99
